Item#,U 08/2020,U 07/2020,U 06/2020,U 05/2020,U 04/2020,U 03/2020,U 02/2020,U 01/2020,U 12/2019,U 11/2019,U 10/2019,U 09/2019
MEM-DR464L-CL02-LR26,144,189,"13,064","3,626",407,"3,802",413,989,"7,033","1,145","2,793","9,554"
MEM-DR480L-CL02-UN26,136,20,0,28,23,32,22,325,68,150,240,11
MEM-DR432L-SL01-ER24,134,104,0,4,0,"1,054",0,4,1,130,84,180
MEM-FRU-U16GB-26A-NI22,128,256,188,184,256,170,178,376,308,152,198,0
MEM-FRU-U64LR4-26A-NI22,128,248,224,178,300,596,45,64,96,540,224,64
MEM-DR416L-SL03-ER29,124,124,"1,494",166,0,75,0,0,0,0,0,0
MEM-DR416L-SL02-ER24,106,6,7,0,0,254,0,90,80,324,10,126
MEM-DR416L-CL01-UN26,99,58,5,11,61,28,45,236,108,259,78,256
MEM-DR480L-SL01-SO26,99,302,140,77,177,527,131,83,12,906,351,114
MEM-DR464L-CL03-ER32,98,32,40,0,0,0,128,0,0,0,0,0
MEM-DR432L-CL06-ER26,96,0,0,0,0,0,0,0,0,0,0,0
MEM-IAEP-NMA1XXD128GPSU,96,14,25,89,41,16,46,31,65,116,70,56
MEM-DR416L-CL02-ER29,91,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-IL03-EU16,90,1,4,0,204,"1,720",65,0,0,0,0,0
MEM-IDSAVM1C-256G-TS033,84,113,0,130,188,0,0,0,0,0,0,0
MEM-FRU-U32GB-G7-NI22,80,40,45,13,5,64,32,4,0,1,0,0
MEM-DR416L-CL01-NV29,75,100,99,32,6,40,18,38,312,106,20,32
MEM-DR412L-CL02-LR26,72,0,26,0,49,86,202,324,149,575,206,205
MEM-DR432L-SV01-ER24,72,36,"2,090",500,0,232,946,153,"1,280",620,"1,722","1,882"
MEM-IDSAHM3A-064G,71,104,"1,706",368,573,20,7,0,119,0,0,0
MEM-DR425L-SL01-ER29,64,19,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-HL02-ES16,51,0,1,4,0,0,2,0,0,400,0,100
MEM-DR416L-CV01-EU26,51,8,57,0,0,0,0,0,0,6,0,0
MEM-DR416L-CV03-EU24,48,95,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-SL03-TS033,48,100,38,46,77,44,67,57,26,12,3,0
MEM-DR480L-CL03-ER26,46,113,84,187,137,412,"2,385","1,958","1,258","1,685","5,466","3,935"
MEM-FRU-U32GB-G7-B-NI22,41,70,268,220,162,208,19,35,558,72,94,0
MEM-IDSAVM8A-256G,41,0,0,10,0,0,2,2,0,0,0,0
MEM-DR416L-SL03-NI22,35,124,0,0,18,0,56,152,12,0,0,0
MEM-DR432L-SL02-ER26,34,80,0,"1,220",0,"4,635","7,450","2,694","12,389",188,"6,476","4,811"
MEM-DR432L-SL03-EI12,34,"2,950","1,433",38,67,36,0,2,21,56,244,371
MEM-DR464L-HL01-LR26,34,1,6,2,3,2,13,14,230,504,661,274
MEM-DR432L-CL05-ER26,33,5,0,0,49,13,36,3,0,0,4,0
MEM-IDSAVT1-032G,30,0,0,0,11,0,2,0,0,0,0,0
MEM-DR380L-IV02-EU16,28,143,300,216,294,452,145,152,240,328,862,637
MEM-DR432L-HL03-NI22,28,0,7,0,0,0,51,0,0,16,130,0
MEM-DR480L-SL01-ER21,28,0,4,0,0,1,0,0,0,3,0,0
MEM-FRU-32GB-G6-NI22,28,0,0,0,0,0,32,0,0,0,130,0
MEM-DR432L-CL01-LR26,27,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-HL01-ER26,27,49,204,125,77,8,12,39,0,268,94,707
MEM-FRU-U64GB-G7-NI22,26,2,0,0,118,0,3,0,0,15,264,0
MEM-DR416L-CL01-ES26,25,3,102,51,108,14,5,35,100,46,243,21
MEM-DR416L-IL01-SO26,25,3,0,0,17,0,0,0,0,0,0,0
MEM-FRU-KIT-DR480L-TS033,25,48,15,0,0,0,0,0,0,0,0,0
MEM-IDSAVT1-256G,25,4,0,4,0,0,1,1,2,3,0,0
MEM-DR316L-AT01-KL002,24,64,272,256,769,208,8,0,168,160,448,160
MEM-DR432L-CL01-ER32,24,0,24,16,16,516,0,0,0,0,64,32
MEM-DR464L-CL01-ER26,24,0,0,0,0,0,0,0,0,0,0,0
MEM-FRU-32GB-G7-B-NI22,24,0,0,0,0,0,0,0,0,0,192,464
MEM-DR340L-IL02-SO16,23,17,0,2,412,"1,665",794,979,920,972,573,"1,605"
MEM-DR416L-CL06-ER26,20,4,17,0,0,1,0,8,0,0,1,0
MEM-DR480L-CL01-SO26,20,21,78,33,23,26,100,58,45,116,40,47
MEM-SPUAVM1-004G,20,0,0,0,0,0,0,0,0,"4,856",275,70
MEM-DR432L-CL03-EI12,18,5,15,149,6,28,6,7,21,9,7,6
MEM-DR464L-CL01-LR29,18,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-AT01-KL002,16,128,"1,256",0,618,72,24,18,518,504,364,384
MEM-DR432L-CL05-ER32,16,0,0,0,0,128,0,0,0,0,0,0
MEM-DR480L-IL03-SO26,16,0,70,32,35,0,1,0,2,0,0,0
MEM-DR416L-CV01-ER26,15,2,132,204,4,4,77,0,8,0,0,0
MEM-IDSAVM8A-064G,15,20,40,14,1,11,23,40,25,0,0,0
MEM-APU9HM2-016G-CS045,14,8,0,0,0,0,0,0,0,0,1,0
MEM-DR416L-HL03-ER26,14,2,40,58,111,0,0,52,"1,107",6,227,208
MEM-DR416L-SL01-EU24,14,32,164,0,4,46,559,288,104,47,35,27
MEM-DR416L-CV02-ER26,13,0,35,"1,906","3,032","1,658","1,560","4,762","6,121","1,032","2,593","11,620"
MEM-DR416L-HV01-EU24,12,0,101,16,4,23,9,66,632,"1,972","1,272","1,248"
MEM-DR432L-CL01-ER26,12,0,38,3,27,39,41,"1,139",270,159,728,823
MEM-DR480L-SL02-ER26,12,1,0,0,2,104,2,1,0,3,0,21
MEM-DR340L-HL03-ER16,10,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-AL01-NV29,10,8,0,11,27,2,0,2,0,0,2,0
MEM-DR416L-CL03-ER24,10,100,59,0,0,0,0,16,20,133,0,17
MEM-DR416L-IL01-ER26,10,6,0,3,0,0,0,0,0,0,0,0
MEM-DR416L-SL01-EU29,10,77,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-CL02-ER24,10,0,12,0,0,0,0,0,0,0,43,0
MEM-DR432L-HL02-ER24,10,4,62,3,12,25,76,23,0,52,33,10
MEM-DR380L-IL02-SO16,9,2,0,0,1,1,50,0,2,4,2,0
MEM-DR416L-SL04-ER24,9,57,50,17,129,331,0,0,133,47,1,59
MEM-DR432L-CV02-ER24,9,0,0,0,12,0,0,42,40,200,1,10
MEM-FRU-D432GB01-RI13,9,4,11,4,7,17,0,7,0,16,15,16
MEM-IDSAHM3A-032G,9,20,11,0,0,0,0,12,1,0,0,0
MEM-IDSAVE1-128G,9,11,7,1,22,2,11,70,0,33,22,3
MEM-IDSAVM8A-128G,9,32,13,84,92,25,9,194,42,0,0,0
MEM-DR432L-SL04-NI22,8,0,"2,478","1,007","1,314","2,264","4,428","1,404",242,"4,098","2,576","1,780"
MEM-DR464L-HL02-TW08,8,0,"2,964","1,452",0,0,0,0,0,0,0,0
MEM-IAEP-NMA1XXD256GPSU,8,0,32,0,0,14,0,1,15,0,8,4
MEM-KIT-64LR4-26A-NI22,8,72,60,99,543,144,190,784,"2,288",492,"1,538","1,160"
MEM-SMP-BPS512G-QS,8,0,20,32,0,0,0,0,0,0,0,0
